ID: JX583
DATE, WEIGHT
 9_5_2018 9:40:57,2252.77832
 9_5_2018 9:40:57,2252.77832
 9_5_2018 9:40:57,2252.77832
 9_5_2018 9:40:57,2252.765625
 9_5_2018 9:40:57,2252.765625
 9_5_2018 9:40:57,2252.765625
 9_5_2018 9:40:57,2252.765625
 9_5_2018 9:40:58,2252.765625
 9_5_2018 9:40:58,2252.765625
 9_5_2018 9:40:58,2252.765625
 9_5_2018 9:40:58,2252.753418
 9_5_2018 9:40:58,2252.753418
 9_5_2018 9:40:58,2252.753418
 9_5_2018 9:40:58,2252.753418
 9_5_2018 9:40:59,2252.753418
 9_5_2018 9:40:59,2252.753418
 9_5_2018 9:40:59,2252.753418
 9_5_2018 9:40:59,2252.740723
 9_5_2018 9:40:59,2252.740723
 9_5_2018 9:40:59,2252.740723
 9_5_2018 9:40:59,2252.740723
 9_5_2018 9:41:0,2252.740723
 9_5_2018 9:41:0,2252.740723
 9_5_2018 9:41:0,2252.740723
 9_5_2018 9:41:0,2252.728516
 9_5_2018 9:41:0,2252.728516
 9_5_2018 9:41:0,2252.728516
 9_5_2018 9:41:0,2252.728516
 9_5_2018 9:41:1,2252.728516
 9_5_2018 9:41:1,2252.728516
 9_5_2018 9:41:1,2252.728516
 9_5_2018 9:41:1,2252.71582
 9_5_2018 9:41:1,2252.71582
 9_5_2018 9:41:1,2252.71582
 9_5_2018 9:41:1,2252.71582
 9_5_2018 9:41:2,2252.71582
 9_5_2018 9:41:2,2252.71582
 9_5_2018 9:41:2,2252.71582
 9_5_2018 9:41:2,2252.703613
 9_5_2018 9:41:2,2252.703613
 9_5_2018 9:41:2,2252.703613
 9_5_2018 9:41:2,2252.703613
 9_5_2018 9:41:3,2252.703613
 9_5_2018 9:41:3,2252.703613
 9_5_2018 9:41:3,2252.703613
 9_5_2018 9:41:3,2252.691162
 9_5_2018 9:41:3,2252.691162
 9_5_2018 9:41:3,2252.691162
 9_5_2018 9:41:3,2252.691162
 9_5_2018 9:41:4,2252.691162
 9_5_2018 9:41:4,2252.691162
 9_5_2018 9:41:4,2252.691162
 9_5_2018 9:41:4,2252.678711
 9_5_2018 9:41:4,2252.678711
 9_5_2018 9:41:4,2252.678711
 9_5_2018 9:41:4,2252.678711
 9_5_2018 9:41:5,2252.678711
 9_5_2018 9:41:5,2252.678711
 9_5_2018 9:41:5,2252.678711
 9_5_2018 9:41:5,2252.666504
 9_5_2018 9:41:5,2252.666504
 9_5_2018 9:41:5,2252.666504
 9_5_2018 9:41:5,2252.666504
 9_5_2018 9:41:6,2252.666504
 9_5_2018 9:41:6,2252.666504
 9_5_2018 9:41:6,2252.666504
 9_5_2018 9:41:6,2252.654053
 9_5_2018 9:41:6,2252.654053
 9_5_2018 9:41:6,2252.654053
 9_5_2018 9:41:6,2252.654053
 9_5_2018 9:41:7,2252.654053
 9_5_2018 9:41:7,2252.654053
 9_5_2018 9:41:7,2252.654053
 9_5_2018 9:41:7,2252.641846
 9_5_2018 9:41:7,2252.641846
 9_5_2018 9:41:7,2252.641846
 9_5_2018 9:41:7,2252.641846
 9_5_2018 9:41:8,2252.641846
 9_5_2018 9:41:8,2252.641846
 9_5_2018 9:41:8,2252.641846
 9_5_2018 9:41:8,2252.629395
 9_5_2018 9:41:8,2252.629395
 9_5_2018 9:41:8,2252.629395
 9_5_2018 9:41:8,2252.629395
 9_5_2018 9:41:9,2252.629395
 9_5_2018 9:41:9,2252.629395
 9_5_2018 9:41:9,2252.629395
 9_5_2018 9:41:9,2252.617188
 9_5_2018 9:41:9,2252.617188
 9_5_2018 9:41:9,2252.617188
 9_5_2018 9:41:9,2252.617188
 9_5_2018 9:41:10,2252.617188
 9_5_2018 9:41:10,2252.617188
 9_5_2018 9:41:10,2252.617188
 9_5_2018 9:41:10,2252.604736
 9_5_2018 9:41:10,2252.604736
 9_5_2018 9:41:10,2252.604736
 9_5_2018 9:41:10,2252.604736
 9_5_2018 9:41:11,2252.604736
 9_5_2018 9:41:11,2252.604736
 9_5_2018 9:41:11,2252.604736
 9_5_2018 9:41:11,2252.592529
 9_5_2018 9:41:11,2252.592529
 9_5_2018 9:41:11,2252.592529
 9_5_2018 9:41:11,2252.592529
 9_5_2018 9:41:12,2252.592529
 9_5_2018 9:41:12,2252.592529
 9_5_2018 9:41:12,2252.592529
 9_5_2018 9:41:12,2252.580078
 9_5_2018 9:41:12,2252.580078
 9_5_2018 9:41:12,2252.580078
 9_5_2018 9:41:12,2252.580078
 9_5_2018 9:41:13,2252.580078
 9_5_2018 9:41:13,2252.580078
 9_5_2018 9:41:13,2252.580078
 9_5_2018 9:41:13,2252.567627
 9_5_2018 9:41:13,2252.567627
 9_5_2018 9:41:13,2252.567627
 9_5_2018 9:41:13,2252.567627
 9_5_2018 9:41:14,2252.567627
 9_5_2018 9:41:14,2252.567627
 9_5_2018 9:41:14,2252.567627
 9_5_2018 9:41:14,2252.555176
 9_5_2018 9:41:14,2252.555176
 9_5_2018 9:41:14,2252.555176
 9_5_2018 9:41:14,2252.555176
 9_5_2018 9:41:15,2252.555176
 9_5_2018 9:41:15,2252.555176
 9_5_2018 9:41:15,2252.555176
 9_5_2018 9:41:15,2252.54248
 9_5_2018 9:41:15,2252.54248
 9_5_2018 9:41:15,2252.54248
 9_5_2018 9:41:15,2252.54248
 9_5_2018 9:41:16,2252.54248
 9_5_2018 9:41:16,2252.54248
 9_5_2018 9:41:16,2252.54248
